Таненбаум, Остин – Архитектура компьютера;816
Таненбаум, Бос – Современные ОС;1120
Гамма, Хелм, Джонсон, Влиссидес – Паттерны ООП;344
Elasticsearch, Kibana, Logstash;240
Азы программирования, том 1;467
Азы программирования, том 2;499
Азы программирования, том 3;403
Азы программирования, том 4;659
Таненбаум, Уэзеролл – Компьютерные сети;960
